Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D61,1N4148,D_DO-35_SOD27_P7.62mm_Horizontal,304.006251,-157.162501,90.0,bottom
D62,1N4148,D_DO-35_SOD27_P7.62mm_Horizontal,358.775001,-176.212501,90.0,bottom
D63,1N4148,D_DO-35_SOD27_P7.62mm_Horizontal,358.775001,-118.903751,90.0,bottom
D64,1N4148,D_DO-35_SOD27_P7.62mm_Horizontal,61.118751,-176.212501,90.0,bottom
D65,1N4148,D_DO-35_SOD27_P7.62mm_Horizontal,92.075001,-176.212501,90.0,bottom
D66,1N4148,D_DO-35_SOD27_P7.62mm_Horizontal,111.125001,-176.212501,90.0,bottom
D67,1N4148,D_DO-35_SOD27_P7.62mm_Horizontal,130.175001,-176.212501,90.0,bottom
D68,1N4148,D_DO-35_SOD27_P7.62mm_Horizontal,149.225001,-176.212501,90.0,bottom
D69,1N4148,D_DO-35_SOD27_P7.62mm_Horizontal,168.275001,-176.212501,90.0,bottom
D70,1N4148,D_DO-35_SOD27_P7.62mm_Horizontal,187.325001,-176.212501,90.0,bottom
D71,1N4148,D_DO-35_SOD27_P7.62mm_Horizontal,206.375001,-176.212501,90.0,bottom
D72,1N4148,D_DO-35_SOD27_P7.62mm_Horizontal,225.425001,-176.212501,90.0,bottom
D73,1N4148,D_DO-35_SOD27_P7.62mm_Horizontal,244.475001,-176.212501,90.0,bottom
D74,1N4148,D_DO-35_SOD27_P7.62mm_Horizontal,263.525001,-176.212501,90.0,bottom
D75,1N4148,D_DO-35_SOD27_P7.62mm_Horizontal,299.243751,-176.212501,90.0,bottom
D76,1N4148,D_DO-35_SOD27_P7.62mm_Horizontal,377.825001,-138.112501,90.0,bottom
D77,1N4148,D_DO-35_SOD27_P7.62mm_Horizontal,53.975001,-195.262501,90.0,bottom
D78,1N4148,D_DO-35_SOD27_P7.62mm_Horizontal,77.787501,-195.103751,90.0,bottom
D79,1N4148,D_DO-35_SOD27_P7.62mm_Horizontal,101.600001,-195.103751,90.0,bottom
D80,1N4148,D_DO-35_SOD27_P7.62mm_Horizontal,182.562501,-195.103751,90.0,bottom
D81,1N4148,D_DO-35_SOD27_P7.62mm_Horizontal,263.525001,-195.103751,90.0,bottom
D82,1N4148,D_DO-35_SOD27_P7.62mm_Horizontal,287.337501,-195.103751,90.0,bottom
D83,1N4148,D_DO-35_SOD27_P7.62mm_Horizontal,311.150001,-195.103751,90.0,bottom
D84,1N4148,D_DO-35_SOD27_P7.62mm_Horizontal,339.725001,-195.262501,90.0,bottom
D85,1N4148,D_DO-35_SOD27_P7.62mm_Horizontal,358.775001,-195.262501,90.0,bottom
D86,1N4148,D_DO-35_SOD27_P7.62mm_Horizontal,377.825001,-195.262501,90.0,bottom
MX1,Esc,MXOnly-1U-Hotswap-Antishear,41.275001,-88.900001,0.0,top
MX2,F1,MXOnly-1U-Hotswap-Antishear,79.375001,-88.900001,0.0,top
MX3,F2,MXOnly-1U-Hotswap-Antishear,98.425001,-88.900001,0.0,top
MX4,F3,MXOnly-1U-Hotswap-Antishear,117.475001,-88.900001,0.0,top
MX5,F4,MXOnly-1U-Hotswap-Antishear,136.525001,-88.900001,0.0,top
MX6,F5,MXOnly-1U-Hotswap-Antishear,165.100001,-88.900001,0.0,top
MX7,F6,MXOnly-1U-Hotswap-Antishear,184.150001,-88.900001,0.0,top
MX8,F7,MXOnly-1U-Hotswap-Antishear,203.200001,-88.900001,0.0,top
MX9,F8,MXOnly-1U-Hotswap-Antishear,222.250001,-88.900001,0.0,top
MX10,F9,MXOnly-1U-Hotswap-Antishear,250.825001,-88.900001,0.0,top
MX11,F10,MXOnly-1U-Hotswap-Antishear,269.875001,-88.900001,0.0,top
MX12,F11,MXOnly-1U-Hotswap-Antishear,288.925001,-88.900001,0.0,top
MX13,F12,MXOnly-1U-Hotswap-Antishear,307.975001,-88.900001,0.0,top
MX14,Print Screen,MXOnly-1U-Hotswap-Antishear,331.787501,-88.900001,0.0,top
MX15,Scroll Lock,MXOnly-1U-Hotswap-Antishear-LED,350.837501,-88.900001,0.0,top
MX16,Pause,MXOnly-1U-Hotswap-Antishear,369.887501,-88.900001,0.0,top
MX17,`,MXOnly-1U-Hotswap-Antishear,41.275001,-112.712501,0.0,top
MX18,1,MXOnly-1U-Hotswap-Antishear,60.325001,-112.712501,0.0,top
MX19,2,MXOnly-1U-Hotswap-Antishear,79.375001,-112.712501,0.0,top
MX20,3,MXOnly-1U-Hotswap-Antishear,98.425001,-112.712501,0.0,top
MX21,4,MXOnly-1U-Hotswap-Antishear,117.475001,-112.712501,0.0,top
MX22,5,MXOnly-1U-Hotswap-Antishear,136.525001,-112.712501,0.0,top
MX23,6,MXOnly-1U-Hotswap-Antishear,155.575001,-112.712501,0.0,top
MX24,7,MXOnly-1U-Hotswap-Antishear,174.625001,-112.712501,0.0,top
MX25,8,MXOnly-1U-Hotswap-Antishear,193.675001,-112.712501,0.0,top
MX26,9,MXOnly-1U-Hotswap-Antishear,212.725001,-112.712501,0.0,top
MX27,0,MXOnly-1U-Hotswap-Antishear,231.775001,-112.712501,0.0,top
MX28,-,MXOnly-1U-Hotswap-Antishear,250.825001,-112.712501,0.0,top
MX29,=,MXOnly-1U-Hotswap-Antishear,269.875001,-112.712501,0.0,top
MX30,Backspace,MXOnly-2U-Hotswap-Antishear,298.450001,-112.712501,0.0,top
MX31,Insert,MXOnly-1U-Hotswap-Antishear,331.787501,-112.712501,0.0,top
MX32,Page Up,MXOnly-1U-Hotswap-Antishear,369.887501,-112.712501,0.0,top
MX33,Tab,MXOnly-1.5U-Hotswap-Antishear,46.037501,-131.762501,0.0,top
MX34,q,MXOnly-1U-Hotswap-Antishear,69.850001,-131.762501,0.0,top
MX35,w,MXOnly-1U-Hotswap-Antishear,88.900001,-131.762501,0.0,top
MX36,e,MXOnly-1U-Hotswap-Antishear,107.950001,-131.762501,0.0,top
MX37,r,MXOnly-1U-Hotswap-Antishear,127.000001,-131.762501,0.0,top
MX38,t,MXOnly-1U-Hotswap-Antishear,146.050001,-131.762501,0.0,top
MX39,y,MXOnly-1U-Hotswap-Antishear,165.100001,-131.762501,0.0,top
MX40,u,MXOnly-1U-Hotswap-Antishear,184.150001,-131.762501,0.0,top
MX41,i,MXOnly-1U-Hotswap-Antishear,203.200001,-131.762501,0.0,top
MX42,o,MXOnly-1U-Hotswap-Antishear,222.250001,-131.762501,0.0,top
MX43,p,MXOnly-1U-Hotswap-Antishear,241.300001,-131.762501,0.0,top
MX44,[,MXOnly-1U-Hotswap-Antishear,260.350001,-131.762501,0.0,top
MX45,],MXOnly-1U-Hotswap-Antishear,279.400001,-131.762501,0.0,top
MX46,\,MXOnly-1.5U-Hotswap-Antishear,303.212501,-131.762501,0.0,top
MX47,Delete,MXOnly-1U-Hotswap-Antishear,331.787501,-131.762501,0.0,top
MX48,End,MXOnly-1U-Hotswap-Antishear,350.837501,-131.762501,0.0,top
MX49,Caps Lock,MXOnly-1U-Hotswap-Antishear-LED,43.656251,-150.812501,0.0,top
MX50,a,MXOnly-1U-Hotswap-Antishear,74.612501,-150.812501,0.0,top
MX51,s,MXOnly-1U-Hotswap-Antishear,93.662501,-150.812501,0.0,top
MX52,d,MXOnly-1U-Hotswap-Antishear,112.712501,-150.812501,0.0,top
MX53,f,MXOnly-1U-Hotswap-Antishear,131.762501,-150.812501,0.0,top
MX54,g,MXOnly-1U-Hotswap-Antishear,150.812501,-150.812501,0.0,top
MX55,h,MXOnly-1U-Hotswap-Antishear,169.862501,-150.812501,0.0,top
MX56,j,MXOnly-1U-Hotswap-Antishear,188.912501,-150.812501,0.0,top
MX57,k,MXOnly-1U-Hotswap-Antishear,207.962501,-150.812501,0.0,top
MX58,l,MXOnly-1U-Hotswap-Antishear,227.012501,-150.812501,0.0,top
MX59,;,MXOnly-1U-Hotswap-Antishear,246.062501,-150.812501,0.0,top
MX60,',MXOnly-1U-Hotswap-Antishear,265.112501,-150.812501,0.0,top
MX61,Enter,MXOnly-2.25U-Hotswap-Antishear,296.068751,-150.812501,0.0,top
MX62,Up,MXOnly-1U-Hotswap-Antishear,350.837501,-169.862501,0.0,top
MX63,Home,MXOnly-1U-Hotswap-Antishear,350.837501,-112.712501,0.0,top
MX64,L_Shift,MXOnly-2.25U-Hotswap-Antishear,53.181251,-169.862501,0.0,top
